Accel_x,Accel_y,Accel_z,w_x,w_y,w_z,true_label,pred_label_py,prob_Mov00_py,prob_Mov01_py,prob_Mov02_py,prob_Mov03_py,prob_Mov04_py
-0.56,0.04,8.9,-0.0,0.0,0.04,Mov00,Mov00,0.9772538855666808,0.005996680733657765,0.0067831738920001855,0.0049029622290330255,0.0050632975786283965
-0.73,-0.03,8.86,-0.0,-0.0,0.04,Mov00,Mov00,0.9769853611306533,0.006220953861897602,0.006689004206170383,0.0052643958443143145,0.004840284956964358
-0.7,-0.03,8.87,-0.0,0.0,0.04,Mov00,Mov00,0.9770777800469762,0.006198372779001094,0.006663862893330364,0.005189250901595361,0.004870733379097094
-0.66,0.01,8.88,-0.01,0.0,0.04,Mov00,Mov00,0.9727353866579224,0.006837036998883385,0.008041798414781622,0.006079626326650828,0.006306151601761767
-0.7,-0.02,8.88,-0.0,0.0,0.04,Mov00,Mov00,0.977192808384775,0.006145232478734385,0.006656091299323431,0.005159794965131122,0.004846072872036047
-0.71,-0.02,8.87,-0.0,0.0,0.03,Mov00,Mov00,0.97266600803936,0.007951764698937488,0.008173321302719916,0.005863045236978716,0.0053458607220037285
-0.74,-0.01,8.88,-0.0,0.0,0.04,Mov00,Mov00,0.9772247838318979,0.00611176636345233,0.006670622709792891,0.005219714429399154,0.004773112665457643
-0.69,-0.03,8.88,-0.0,0.0,0.03,Mov00,Mov00,0.972791043550287,0.007947060015987148,0.008108052318169709,0.005795440901673057,0.005358403213883184
-0.72,-0.02,8.88,-0.0,0.0,0.04,Mov00,Mov00,0.9772116519526626,0.006139250934907154,0.006650530057151409,0.0051894077795973555,0.004809159275681376
-0.73,-0.02,8.87,-0.0,0.0,0.04,Mov00,Mov00,0.9771008731792541,0.006167623089935143,0.006681206673528182,0.005234516009456027,0.004815781047826598
0.19,-9.81,-0.13,-0.02,0.01,0.05,Mov01,Mov01,0.03520800507069461,0.8921004361890915,0.0007222708164521855,0.03434026134448432,0.037629026579277525
0.28,-9.76,-0.07,-0.02,-0.0,0.03,Mov01,Mov01,0.02569673282269583,0.9085144677075089,0.0007483624292252826,0.0299021747078961,0.03513826233267381
0.16,-9.83,-0.28,-0.0,0.01,-0.01,Mov01,Mov01,0.00946669639697128,0.9631108861448058,0.0004966387060375075,0.014915267128852397,0.01201051162333277
0.19,-9.81,-0.05,-0.0,0.02,0.03,Mov01,Mov01,0.02542370869363482,0.93417477837796,0.0005543627687582298,0.021357785361436087,0.018489364798210877
0.26,-9.82,-0.04,-0.0,0.0,0.02,Mov01,Mov01,0.025653222951943104,0.9275718012374498,0.0006147498936249522,0.023284493752119693,0.02287573216486242
0.25,-9.82,-0.07,-0.01,0.01,0.04,Mov01,Mov01,0.032076392277607856,0.909994898084902,0.0006532500685711566,0.028061284275687676,0.02921417529323115
0.18,-9.79,-0.14,-0.01,-0.0,0.01,Mov01,Mov01,0.01711283018578846,0.9371694126124154,0.0006401079124105307,0.022841926036257905,0.022235723253127757
0.18,-9.77,-0.2,-0.01,-0.0,0.03,Mov01,Mov01,0.027233519657715432,0.9128040789035972,0.0007022504235803931,0.029418808441315676,0.029841342573791108
0.2,-9.75,-0.08,0.0,0.01,0.02,Mov01,Mov01,0.02269599411373936,0.9355942952385757,0.0005995482251629448,0.021692480661416026,0.01941768176110609
0.26,-9.82,-0.01,-0.01,0.01,0.03,Mov01,Mov01,0.02594090868214077,0.9232947248919162,0.0006292327666809767,0.024714464280299407,0.025420669378962563
0.02,9.62,0.41,-0.0,0.02,0.03,Mov02,Mov02,0.029997302072033993,0.0009436004589576194,0.9237491393006774,0.024767766236320748,0.020542191932010182
0.2,9.65,0.57,-0.0,-0.03,0.05,Mov02,Mov02,0.05893196686039179,0.0005107566368313363,0.8695934198502724,0.03122294419232378,0.03974091246018063
0.17,9.65,0.61,-0.01,0.02,0.03,Mov02,Mov02,0.027326702483667677,0.0008702297698195933,0.9258693101426949,0.022993701341241773,0.022940056262576128
0.05,9.66,0.59,-0.0,0.02,0.03,Mov02,Mov02,0.032321556380173595,0.0009139881456349264,0.9226129301308899,0.023796622829900818,0.02035490251340067
0.14,9.66,0.61,-0.02,-0.0,0.05,Mov02,Mov02,0.036983550699683905,0.0005990844406169833,0.8986824989464967,0.028749609138157516,0.03498525677504484
0.12,9.61,0.44,-0.0,-0.02,0.04,Mov02,Mov02,0.04452481938514923,0.000619466155999512,0.8919330544542119,0.029782040872627796,0.033140619132011495
0.07,9.71,0.59,-0.0,0.01,0.03,Mov02,Mov02,0.03327926705907405,0.0008065252283689909,0.9197761583917996,0.024129431934656075,0.022008617386101166
