Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Prob Mov00,Prob Mov01,Prob Mov02,Prob Mov03,Prob Mov04
-0.6979,-0.0467,8.8969,-0.0037,0.0016,0.0357,27.4271,Mov00,Mov00,0.973811,0.007317,0.007668,0.005745,0.005459
-0.7039,-0.0443,8.8992,-0.0035,0.0013,0.036,27.4329,Mov00,Mov00,0.974123,0.007202,0.007577,0.005701,0.005396
-0.7027,-0.0431,8.8921,-0.0037,0.0019,0.036,27.43,Mov00,Mov00,0.973839,0.007301,0.007665,0.005752,0.005443
-0.7075,-0.0467,8.8981,-0.0037,0.0019,0.036,27.4359,Mov00,Mov00,0.973928,0.007287,0.00763,0.00574,0.005416
-0.7159,-0.0467,8.916,-0.0037,0.0021,0.036,27.4329,Mov00,Mov00,0.974149,0.007244,0.007569,0.005696,0.005343
-0.723,-0.0419,8.9124,-0.0037,0.0019,0.036,27.43,Mov00,Mov00,0.974138,0.007216,0.007584,0.005718,0.005344
-0.7183,-0.0407,8.904,-0.0037,0.0019,0.0357,27.4241,Mov00,Mov00,0.973896,0.007294,0.007662,0.005756,0.005391
-0.7159,-0.0407,8.904,-0.0035,0.0016,0.0357,27.4271,Mov00,Mov00,0.974046,0.007247,0.007616,0.005724,0.005367
-0.7171,-0.0491,8.9184,-0.0035,0.0019,0.0354,27.43,Mov00,Mov00,0.974093,0.00729,0.007588,0.005698,0.005332
-0.7207,-0.0563,8.9196,-0.0035,0.0013,0.0357,27.4271,Mov00,Mov00,0.974302,0.007201,0.0075,0.005679,0.005319
-0.7183,-0.0527,8.9136,-0.0037,0.0013,0.0352,27.4241,Mov00,Mov00,0.973853,0.007335,0.007651,0.005758,0.005403
-0.7242,-0.0407,8.9052,-0.0037,0.0011,0.0352,27.4271,Mov00,Mov00,0.973772,0.007307,0.007706,0.005795,0.005421
-0.723,-0.0395,8.916,-0.0037,0.0011,0.0354,27.4329,Mov00,Mov00,0.974039,0.007215,0.007628,0.005739,0.00538
-0.7219,-0.0395,8.9112,-0.0037,0.0011,0.0357,27.4271,Mov00,Mov00,0.974094,0.007185,0.007606,0.005734,0.005382
-0.7123,-0.0443,8.9124,-0.0037,0.0011,0.0357,27.43,Mov00,Mov00,0.974102,0.007196,0.00759,0.005715,0.005398
-0.7135,-0.0431,8.9148,-0.0037,0.0013,0.0354,27.4271,Mov00,Mov00,0.973982,0.007259,0.007635,0.005728,0.005397
-0.7171,-0.0491,8.91,-0.0037,0.0011,0.0354,27.4241,Mov00,Mov00,0.973956,0.007264,0.007624,0.005748,0.005408
-0.7111,-0.0479,8.8992,-0.0037,0.0013,0.0354,27.43,Mov00,Mov00,0.973769,0.007329,0.007681,0.005776,0.005445
-0.7159,-0.0431,8.8992,-0.0037,0.0013,0.0354,27.4271,Mov00,Mov00,0.973772,0.007315,0.007694,0.005784,0.005435
-0.7147,-0.0407,8.8861,-0.004,0.0011,0.0352,27.4271,Mov00,Mov00,0.973374,0.007404,0.00782,0.00587,0.005532
-0.7111,-0.0395,8.8909,-0.0045,0.0013,0.0357,27.4241,Mov00,Mov00,0.973405,0.007357,0.007806,0.005867,0.005564
-0.7159,-0.0347,8.8957,-0.0043,0.0021,0.0357,27.4241,Mov00,Mov00,0.9735,0.007383,0.007796,0.005836,0.005486
-0.7123,-0.0299,8.8873,-0.0043,0.0019,0.0357,27.4271,Mov00,Mov00,0.973409,0.007376,0.007833,0.005857,0.005524
-0.7159,-0.0251,8.8897,-0.0043,0.0016,0.036,27.4241,Mov00,Mov00,0.9736,0.007278,0.007785,0.005836,0.005502
-0.7123,-0.0287,8.8909,-0.0043,0.0011,0.0357,27.4271,Mov00,Mov00,0.973556,0.00728,0.007791,0.005841,0.005532
-0.7147,-0.0395,8.8909,-0.0045,0.0011,0.0357,27.4212,Mov00,Mov00,0.973442,0.007329,0.007794,0.005872,0.005563
-0.7159,-0.0323,8.8945,-0.0048,0.0013,0.0357,27.4212,Mov00,Mov00,0.973333,0.007346,0.007849,0.005891,0.005581
-0.7123,-0.0287,8.8945,-0.0045,0.0019,0.0354,27.4271,Mov00,Mov00,0.973261,0.007419,0.007888,0.005879,0.005554
-0.7147,-0.0299,8.8873,-0.0045,0.0019,0.0352,27.4212,Mov00,Mov00,0.973038,0.007498,0.007954,0.005926,0.005584
-0.7135,-0.0347,8.8957,-0.0043,0.0021,0.0352,27.4212,Mov00,Mov00,0.973248,0.007484,0.00788,0.005869,0.005519
-0.7123,-0.0323,8.8969,-0.0043,0.0019,0.0352,27.4182,Mov00,Mov00,0.973295,0.007446,0.007872,0.005862,0.005525
-0.7075,-0.0323,8.91,-0.0048,0.0016,0.0349,27.4124,Mov00,Mov00,0.973134,0.007467,0.007927,0.005881,0.005591
-0.7123,-0.0287,8.9004,-0.0045,0.0016,0.0352,27.4182,Mov00,Mov00,0.973252,0.007419,0.007895,0.005876,0.005557
-0.7123,-0.0323,8.9076,-0.004,0.0013,0.0354,27.4241,Mov00,Mov00,0.973756,0.00728,0.007731,0.005777,0.005456
-0.7123,-0.0311,8.91,-0.0043,0.0011,0.0354,27.4241,Mov00,Mov00,0.973698,0.007264,0.007751,0.005795,0.005491
-0.7147,-0.0431,8.9076,-0.0045,0.0016,0.0354,27.4182,Mov00,Mov00,0.973487,0.007379,0.007781,0.005836,0.005516
-0.7159,-0.0371,8.9088,-0.004,0.0016,0.0357,27.4241,Mov00,Mov00,0.973869,0.007264,0.00768,0.005762,0.005425
-0.7111,-0.0359,8.9028,-0.004,0.0019,0.0354,27.4271,Mov00,Mov00,0.973625,0.007361,0.00776,0.005794,0.005459
-0.7111,-0.0323,8.9028,-0.004,0.0016,0.0354,27.4329,Mov00,Mov00,0.973656,0.007325,0.00776,0.005793,0.005466
-0.7075,-0.0359,8.9016,-0.004,0.0016,0.0354,27.4329,Mov00,Mov00,0.973638,0.00734,0.007755,0.005791,0.005476
-0.7075,-0.0419,8.9052,-0.0035,0.0013,0.0352,27.4271,Mov00,Mov00,0.973842,0.00732,0.007682,0.005742,0.005414
-0.7087,-0.0527,8.8957,-0.0037,0.0016,0.0357,27.4241,Mov00,Mov00,0.97381,0.007333,0.007651,0.005766,0.00544
-0.7075,-0.0395,8.9052,-0.004,0.0016,0.0357,27.4241,Mov00,Mov00,0.973812,0.007287,0.00769,0.00576,0.005452
-0.7147,-0.0371,8.9052,-0.0043,0.0016,0.0357,27.43,Mov00,Mov00,0.973697,0.0073,0.007731,0.005799,0.005473
-0.7219,-0.0359,8.9004,-0.0045,0.0016,0.0354,27.4271,Mov00,Mov00,0.973392,0.007384,0.007828,0.005873,0.005522
-0.7266,-0.0311,8.9112,-0.004,0.0019,0.0354,27.4241,Mov00,Mov00,0.973755,0.007312,0.007737,0.005792,0.005404
-0.7266,-0.0407,8.9184,-0.0043,0.0019,0.0352,27.4271,Mov00,Mov00,0.973614,0.007382,0.007758,0.005813,0.005433
-0.729,-0.0347,8.9172,-0.004,0.0016,0.0357,27.4329,Mov00,Mov00,0.973996,0.007223,0.007651,0.005756,0.005374
-0.7242,-0.0251,8.9088,-0.0043,0.0016,0.0354,27.4271,Mov00,Mov00,0.973627,0.007302,0.007791,0.005822,0.005458
-0.7171,-0.0311,8.9088,-0.004,0.0013,0.0354,27.4329,Mov00,Mov00,0.973777,0.007271,0.007728,0.005781,0.005443
-0.7195,-0.0335,8.9136,-0.004,0.0016,0.0357,27.4388,Mov00,Mov00,0.973936,0.007236,0.007671,0.005752,0.005404
-0.7171,-0.0311,8.9112,-0.0043,0.0013,0.036,27.43,Mov00,Mov00,0.973933,0.007187,0.007673,0.005764,0.005444
-0.7195,-0.0287,8.9136,-0.0045,0.0019,0.0357,27.4271,Mov00,Mov00,0.973659,0.007295,0.007768,0.005808,0.00547
-0.7183,-0.0311,8.9076,-0.0048,0.0021,0.036,27.43,Mov00,Mov00,0.973545,0.007323,0.00779,0.005836,0.005505
-0.7171,-0.0359,8.9028,-0.0043,0.0016,0.0357,27.4329,Mov00,Mov00,0.973666,0.007305,0.007743,0.005811,0.005475
-0.7159,-0.0371,8.8957,-0.004,0.0016,0.036,27.4329,Mov00,Mov00,0.973811,0.007264,0.00769,0.005788,0.005448
-0.7147,-0.0383,8.8933,-0.0037,0.0019,0.0354,27.4359,Mov00,Mov00,0.97362,0.007379,0.007753,0.005805,0.005443
-0.7135,-0.0311,8.8969,-0.0043,0.0019,0.0357,27.4329,Mov00,Mov00,0.973544,0.007343,0.007792,0.005827,0.005494
-0.7171,-0.0335,8.9004,-0.0043,0.0016,0.0357,27.4329,Mov00,Mov00,0.973632,0.007308,0.007759,0.005819,0.005482
-0.7159,-0.0335,8.8957,-0.004,0.0016,0.0354,27.4359,Mov00,Mov00,0.973563,0.007353,0.007783,0.005825,0.005476
-0.7195,-0.0359,8.8945,-0.0043,0.0013,0.0357,27.4359,Mov00,Mov00,0.973585,0.007309,0.007764,0.005842,0.0055
-0.7159,-0.0311,8.8969,-0.0043,0.0011,0.0357,27.4359,Mov00,Mov00,0.973644,0.007263,0.007759,0.005827,0.005507
-0.7171,-0.0359,8.8933,-0.004,0.0013,0.0357,27.4418,Mov00,Mov00,0.973688,0.007292,0.007733,0.005815,0.005472
-0.7099,-0.0359,8.9088,-0.004,0.0013,0.0357,27.4359,Mov00,Mov00,0.973894,0.007237,0.007675,0.005751,0.005443
-0.7111,-0.0383,8.8909,-0.004,0.0016,0.0357,27.4359,Mov00,Mov00,0.973617,0.007336,0.007748,0.005814,0.005485
-0.7063,-0.0371,8.8933,-0.004,0.0019,0.0352,27.4329,Mov00,Mov00,0.973364,0.007452,0.007837,0.005837,0.005511
-0.7135,-0.0359,8.8933,-0.004,0.0019,0.0352,27.4359,Mov00,Mov00,0.973371,0.007446,0.007838,0.005849,0.005496
-0.7051,-0.0347,8.9004,-0.004,0.0019,0.0352,27.4329,Mov00,Mov00,0.973461,0.007419,0.007817,0.005811,0.005493
-0.7027,-0.0419,8.8969,-0.004,0.0016,0.0352,27.4271,Mov00,Mov00,0.973445,0.007425,0.007799,0.005817,0.005514
-0.7111,-0.0419,8.904,-0.004,0.0016,0.0354,27.4271,Mov00,Mov00,0.973678,0.007345,0.007727,0.005788,0.005462
-0.7111,-0.0371,8.9136,-0.0043,0.0016,0.0357,27.4271,Mov00,Mov00,0.973808,0.007271,0.007699,0.005765,0.005457
-0.7123,-0.0359,8.9004,-0.004,0.0016,0.0357,27.4212,Mov00,Mov00,0.973749,0.007293,0.007717,0.005784,0.005456
-0.7159,-0.0347,8.8981,-0.004,0.0011,0.0357,27.4271,Mov00,Mov00,0.973784,0.007245,0.007708,0.005796,0.005467
-0.7207,-0.0395,8.9052,-0.004,0.0013,0.0362,27.4359,Mov00,Mov00,0.974102,0.007158,0.007593,0.005744,0.005403
-0.7219,-0.0383,8.8849,-0.004,0.0013,0.0357,27.4359,Mov00,Mov00,0.973579,0.007327,0.007757,0.005851,0.005486
-0.723,-0.0383,8.8885,-0.0043,0.0013,0.0357,27.4359,Mov00,Mov00,0.973508,0.007336,0.007779,0.005868,0.005509
-0.7183,-0.0383,8.8897,-0.0043,0.0019,0.0357,27.4359,Mov00,Mov00,0.973454,0.007387,0.007797,0.005859,0.005504
-0.7171,-0.0383,8.8981,-0.0043,0.0016,0.0354,27.4359,Mov00,Mov00,0.973477,0.007379,0.007796,0.005846,0.005503
-0.7159,-0.0287,8.9004,-0.004,0.0016,0.0357,27.4329,Mov00,Mov00,0.973749,0.007274,0.007737,0.005791,0.005449
-0.7171,-0.0347,8.9112,-0.0037,0.0013,0.0354,27.4329,Mov00,Mov00,0.973932,0.007249,0.007672,0.005746,0.0054
-0.7147,-0.0323,8.9016,-0.0037,0.0011,0.0357,27.4329,Mov00,Mov00,0.973952,0.007204,0.007666,0.005755,0.005424
-0.7207,-0.0323,8.8957,-0.004,0.0013,0.0354,27.4241,Mov00,Mov00,0.9736,0.007322,0.007775,0.005832,0.005472
-0.7195,-0.0335,8.8897,-0.004,0.0019,0.0354,27.43,Mov00,Mov00,0.973451,0.007401,0.007816,0.005852,0.005479
-0.7123,-0.0383,8.8969,-0.004,0.0016,0.0354,27.4271,Mov00,Mov00,0.973578,0.007362,0.007765,0.005815,0.00548
-0.7087,-0.0371,8.8957,-0.0045,0.0013,0.0354,27.4329,Mov00,Mov00,0.973344,0.007383,0.007837,0.005866,0.00557
-0.7111,-0.0371,8.9052,-0.0045,0.0011,0.0354,27.4329,Mov00,Mov00,0.973512,0.00732,0.007788,0.005836,0.005543
-0.7147,-0.0335,8.9112,-0.0045,0.0016,0.0354,27.4359,Mov00,Mov00,0.973532,0.007341,0.007796,0.005825,0.005507
-0.7123,-0.0371,8.904,-0.0043,0.0016,0.0354,27.4388,Mov00,Mov00,0.973554,0.007355,0.007777,0.005818,0.005496
-0.7099,-0.0347,8.8981,-0.0043,0.0019,0.036,27.4388,Mov00,Mov00,0.973682,0.0073,0.007736,0.005798,0.005483
-0.7147,-0.0359,8.8969,-0.0043,0.0016,0.036,27.4388,Mov00,Mov00,0.973704,0.007279,0.007725,0.005809,0.005483
-0.7171,-0.0335,8.8969,-0.0043,0.0013,0.0354,27.43,Mov00,Mov00,0.973491,0.007344,0.007804,0.005849,0.005512
-0.7195,-0.0299,8.8909,-0.0045,0.0013,0.0352,27.4271,Mov00,Mov00,0.97316,0.007429,0.007916,0.005919,0.005576
-0.7147,-0.0395,8.8992,-0.004,0.0016,0.0354,27.43,Mov00,Mov00,0.973614,0.007356,0.007752,0.00581,0.005468
-0.7171,-0.0383,8.8969,-0.004,0.0019,0.0354,27.4271,Mov00,Mov00,0.973551,0.007387,0.007774,0.005824,0.005464
-0.7123,-0.0443,8.8897,-0.0043,0.0016,0.0357,27.4271,Mov00,Mov00,0.973483,0.007378,0.00777,0.005847,0.005522
