Accel_x,Accel_y,Accel_z,w_x,w_y,w_z,Temp,Category
-0.69,-0.03,8.9,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.02,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.02,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.02,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.04,8.87,-0.0,0.0,0.03,26.38,Mov00
-0.7,-0.04,8.88,-0.0,0.0,0.03,26.38,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.03,26.38,Mov00
-0.71,-0.02,8.88,-0.0,0.0,0.03,26.38,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.03,26.39,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.03,26.38,Mov00
-0.71,-0.03,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.03,26.4,Mov00
-0.7,-0.03,8.86,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.04,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.04,26.4,Mov00
-0.7,-0.04,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.04,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.03,26.39,Mov00
-0.71,-0.03,8.87,-0.0,0.0,0.03,26.38,Mov00
-0.71,-0.03,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.71,-0.03,8.89,-0.0,0.0,0.03,26.39,Mov00
-0.71,-0.02,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.71,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.03,26.38,Mov00
-0.71,-0.03,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.02,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.02,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.02,8.86,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.69,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.01,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.01,8.89,-0.0,0.0,0.03,26.39,Mov00
-0.71,-0.02,8.89,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.02,8.89,-0.0,0.0,0.03,26.38,Mov00
-0.71,-0.02,8.89,-0.0,0.0,0.03,26.38,Mov00
-0.7,-0.02,8.88,-0.0,0.0,0.03,26.38,Mov00
-0.7,-0.02,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.02,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.02,8.9,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.04,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.03,8.86,-0.0,0.0,0.04,26.39,Mov00
-0.71,-0.03,8.86,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.86,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.69,-0.02,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.86,-0.0,0.0,0.04,26.39,Mov00
-0.69,-0.02,8.86,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.02,8.86,-0.0,0.0,0.03,26.37,Mov00
-0.7,-0.02,8.87,-0.0,0.0,0.03,26.37,Mov00
-0.71,-0.01,8.87,-0.0,0.0,0.03,26.38,Mov00
-0.71,-0.02,8.87,-0.0,0.0,0.03,26.37,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.03,8.87,-0.0,0.0,0.04,26.38,Mov00
-0.71,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.38,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.89,-0.0,0.0,0.04,26.4,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.02,8.88,-0.0,0.0,0.04,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.9,-0.0,0.0,0.03,26.39,Mov00
-0.7,-0.03,8.88,-0.0,0.0,0.03,26.38,Mov00
-0.7,-0.03,8.87,-0.0,0.0,0.03,26.39,Mov00
