Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Resultado Inferencia
-1.008,0.0156,8.9052,-0.0045,0.0024,0.0357,28.3388,Mov00,Mov00,0.996094
-1.0127,0.012,8.904,-0.0045,0.0035,0.036,28.3388,Mov00,Mov00,0.996094
-1.0175,0.0215,8.91,-0.0043,0.0037,0.0357,28.3388,Mov00,Mov00,0.996094
-1.0127,0.0215,8.9124,-0.0043,0.0029,0.0357,28.3359,Mov00,Mov00,0.996094
-1.0223,0.0251,8.9088,-0.0043,0.0016,0.0354,28.3388,Mov00,Mov00,0.996094
-1.0139,0.0299,8.91,-0.0037,0.0013,0.0354,28.3447,Mov00,Mov00,0.996094
-1.0151,0.0215,8.9028,-0.004,0.0016,0.0357,28.3388,Mov00,Mov00,0.996094
-1.0127,0.0168,8.9064,-0.0043,-0.0003,0.0354,28.3447,Mov00,Mov00,0.996094
-1.0092,0.0192,8.9028,-0.0043,-0.0003,0.0352,28.3418,Mov00,Mov00,0.996094
-1.0151,0.0311,8.8873,-0.0043,0.0019,0.0354,28.3359,Mov00,Mov00,0.996094
-1.0247,0.0299,8.8945,-0.0045,0.0024,0.0354,28.3359,Mov00,Mov00,0.996094
-1.0307,0.0239,8.8945,-0.0048,0.0,0.0352,28.3418,Mov00,Mov00,0.996094
-1.0139,0.0192,8.8873,-0.0051,-0.0016,0.0352,28.3447,Mov00,Mov00,0.996094
-1.0116,0.0108,8.8837,-0.0048,0.0013,0.0357,28.3535,Mov00,Mov00,0.996094
-1.0199,0.0144,8.8909,-0.0045,0.0024,0.0357,28.3565,Mov00,Mov00,0.996094
-1.0199,0.0132,8.8921,-0.0051,-0.0029,0.0357,28.3594,Mov00,Mov00,0.996094
-1.0104,0.0108,8.8837,-0.0045,-0.0011,0.0357,28.3565,Mov00,Mov00,0.996094
-1.0175,0.018,8.8897,-0.0043,0.0024,0.0354,28.3653,Mov00,Mov00,0.996094
-1.0319,0.0227,8.8873,-0.0045,0.0003,0.0357,28.3624,Mov00,Mov00,0.996094
-1.0163,0.0239,8.8921,-0.0048,-0.0013,0.0357,28.3594,Mov00,Mov00,0.996094
-1.0151,0.0239,8.8992,-0.0048,-0.0005,0.0357,28.3535,Mov00,Mov00,0.996094
-1.0187,0.0251,8.9028,-0.0051,-0.0024,0.0357,28.3506,Mov00,Mov00,0.996094
-1.0116,0.0287,8.8921,-0.0053,-0.0077,0.0362,28.3476,Mov00,Mov00,0.996094
-0.9708,0.0371,8.8765,-0.0064,-0.0029,0.0434,28.3447,Mov00,Mov00,0.996094
-0.9756,0.0287,8.8765,-0.0064,0.0147,0.052,28.3476,Mov00,Mov00,0.996094
-1.0008,0.0192,8.8992,-0.0064,0.0298,0.0525,28.3506,Mov00,Mov00,0.996094
-1.0247,0.012,8.9076,-0.0056,0.0365,0.0496,28.3506,Mov00,Mov00,0.996094
